TeamId;ES L1 LW;ES L1 C;ES L1 RW;ES L1 LD;ES L1 RD;ES L2 LW;ES L2 C;ES L2 RW;ES L2 LD;ES L2 RD;ES L3 LW;ES L3 C;ES L3 RW;ES L3 LD;ES L3 RD;ES L4 LW;ES L4 C;ES L4 RW;ES L4 LD;ES L4 RD;PP5on4 L1 LW;PP5on4 L1 C;PP5on4 L1 RW;PP5on4 L1 LD;PP5on4 L1 RD;PP5on4 L2 LW;PP5on4 L2 C;PP5on4 L2 RW;PP5on4 L2 LD;PP5on4 L2 RD;PP5on3 L1 LW;PP5on3 L1 C;PP5on3 L1 RW;PP5on3 L1 LD;PP5on3 L1 RD;PP5on3 L2 LW;PP5on3 L2 C;PP5on3 L2 RW;PP5on3 L2 LD;PP5on3 L2 RD;PP4on3 L1 F1;PP4on3 L1 F2;PP4on3 L1 LD;PP4on3 L1 RD;PP4on3 L2 F1;PP4on3 L2 F2;PP4on3 L2 LD;PP4on3 L2 RD;PK4on5 L1 F1;PK4on5 L1 F2;PK4on5 L1 LD;PK4on5 L1 RD;PK4on5 L2 F1;PK4on5 L2 F2;PK4on5 L2 LD;PK4on5 L2 LD;PK4on5 L3 F1;PK4on5 L3 F2;PK4on5 L3 LD;PK4on5 L3 LD;PK3on5 L1 F1;PK3on5 L1 LD;PK3on5 L1 RD;PK3on5 L2 F1;PK3on5 L2 LD;PK3on5 L2 LD;PK3on4 L1 F1;PK3on4 L1 LD;PK3on4 L1 RD;PK3on4 L2 F1;PK3on4 L2 LD;PK3on4 L2 LD;4on4 L1 F1;4on4 L1 F2;4on4 L1 LD;4on4 L1 RD;4on4 L2 F1;4on4 L2 F2;4on4 L2 LD;4on4 L2 LD;3on3 L1 F1;3on3 L1 LD;3on3 L1 RD;3on3 L2 F1;3on3 L2 LD;3on3 L2 LD;Shootout 1;Shootout 2;Shootout 3;Shootout 4;Shootout 5;Goalie 1;Goalie 2;Extra Attacker 1;Extra Attacker 2;
0;5863;1391;1029;1400;949;1842;7606;5857;5885;7019;6660;5735;6244;554;1019;618;6640;2828;;;5863;7606;6640;5885;1400;5857;1842;6244;6660;554;5863;7606;6640;5885;554;5857;1842;6244;6660;1400;5863;7606;1842;5885;6640;5857;6660;554;6244;1391;949;1019;618;1029;1400;7019;2828;5735;5885;554;1391;949;1019;6244;1400;7019;1391;949;1019;6244;1400;7019;5863;7606;5885;1400;1391;1842;949;554;5863;7606;1400;1391;1842;5885;1029;5857;618;6244;5863;6446;1926;7606;5863;
1;8169;6226;7611;6498;7613;6360;7612;3299;6012;6528;6465;6361;6032;6549;6865;6468;7070;6522;;;8169;7611;3299;7613;6865;6468;7612;6522;6012;6498;8169;7611;3299;7613;6865;6468;7612;6522;6012;6498;8169;7611;3299;7613;6465;7612;6012;6865;6226;6465;6549;6498;6032;6361;6528;7613;6468;6360;6012;6865;6465;6549;6498;6226;6528;7613;6465;6549;6498;6226;6528;7613;8169;7611;6012;6498;6226;6465;6528;7613;8169;7611;6498;6226;6465;7613;8169;7611;6498;6032;7613;2756;703;7611;6465;
2;7063;7605;6344;7615;5859;1359;1851;689;6458;1999;5182;6605;8182;1763;5383;1230;1648;5730;;;7063;7605;6344;5859;7615;1359;1851;689;6458;5383;7063;7605;6344;5859;7615;1359;1851;689;6458;5383;7605;7063;5859;6458;689;1359;1763;5383;1851;5730;7615;1999;7605;7063;1763;5383;;;;;1851;1763;1999;7605;7615;5859;1851;1763;1999;7605;7615;5859;1359;7063;6458;5859;1648;7605;1763;5383;1359;7063;5859;1648;7605;6458;7063;6344;7605;5730;5182;5935;862;7063;1359;
3;802;2526;1007;962;5866;882;6470;5867;;6336;2005;6439;5632;6462;5966;153;5562;881;;;802;6470;2526;5866;882;2005;1007;5867;;881;802;6470;2526;5866;882;2005;1007;5867;;881;1007;2526;802;5866;5867;6470;2005;6336;802;6439;;6336;5867;6470;6462;5966;5632;5562;962;5866;6470;6462;6336;6439;962;5966;6470;6462;6336;6439;962;5966;1007;2526;962;5866;2005;6470;5966;6336;2526;802;5866;6470;1007;962;1007;2526;802;5867;6470;1064;904;2526;5867;
7;1273;5865;6431;8739;1595;5861;5896;1769;475;2092;7619;766;1385;6567;5441;5878;6452;5422;;;1273;5896;1769;5861;8739;7619;5865;1385;475;1595;5861;1273;1769;5896;8739;7619;5865;1385;475;1595;1769;1273;5861;8739;1385;5896;1595;475;766;5878;6567;1595;5865;6431;5441;2092;7619;5422;8739;475;5878;6567;1595;766;5441;2092;5878;6567;1595;766;5441;2092;1769;1273;1595;2092;5865;6431;8739;475;1769;1273;1595;5865;6431;8739;1769;5422;1273;6431;5896;1651;443;6431;5896;
8;5908;6432;430;1724;5858;861;6137;522;1750;5682;5618;5969;1425;1506;1187;5704;1096;419;;;5908;6432;430;1724;1750;861;6137;522;1506;5858;5908;6432;430;1724;1750;861;6137;522;1506;5858;6432;5908;430;1724;522;6137;861;1750;1425;1096;1187;5858;419;5618;1724;5682;6432;5908;1750;1506;1425;1187;5858;1096;1724;5682;1425;1187;5858;1096;1724;5682;5908;6432;1724;5858;6137;430;1750;5682;6432;5908;1724;6137;430;5858;5908;1724;522;430;6432;2123;5430;6432;5908;
9;6191;1773;1292;853;1393;1767;6447;512;1340;6550;5951;2827;2846;1456;5653;5391;5894;1760;;;1767;1773;6191;1393;1292;512;5951;2846;1340;6550;1767;1773;6191;1393;1292;512;5951;2846;1340;6550;6191;1773;1393;1292;1767;512;1340;6550;6447;1773;1340;853;5391;2846;6550;1393;1760;5894;1456;5653;1773;1340;853;6447;1456;5653;1773;1340;853;6447;1456;5653;1292;1773;853;1393;1767;512;1340;6550;1292;1773;1393;1767;512;1340;1773;1292;6191;1767;512;5934;930;6191;512;
10;1902;5899;1398;6441;5954;729;6440;1339;1826;6359;5874;1808;1954;1672;2033;875;5897;815;;;1902;5899;1339;5954;6359;5874;6440;1398;1826;1954;1902;5899;1339;5954;6359;5874;6440;1398;1826;1954;1902;1339;6359;5954;1954;1398;5899;;1808;1954;6441;5954;6440;5874;1826;2033;5899;5897;6359;1672;1808;6441;5954;6440;1826;2033;1808;6441;5954;6440;1826;2033;1954;5899;1826;5954;1902;1339;6441;6359;1902;5899;5954;1398;6440;6359;5899;1954;1902;1339;6440;2689;1681;5899;1902;
12;6399;823;916;1128;697;839;5498;1085;5726;398;878;8175;3401;2017;6719;5495;6826;1712;;;3401;823;839;1085;1128;878;5498;916;5726;697;3401;823;5495;1085;1128;878;5498;916;5726;697;5495;6399;1085;1128;839;823;697;2017;916;823;2017;398;6399;1712;6719;697;878;5498;5726;1128;823;2017;398;6399;6719;697;823;2017;398;6399;6719;697;5495;6399;1085;1128;839;823;697;2017;1085;6399;1128;5495;823;697;6399;3401;839;823;5726;530;442;6399;823;
14;1424;6507;6322;5873;305;6449;867;1073;1255;16;1134;1413;6459;5460;1279;1841;1252;764;;;6449;6507;6322;1134;1255;1424;867;1073;1279;305;6449;6507;6322;1134;1255;1424;867;1073;1279;305;6449;6322;1134;1255;1424;6507;1073;1279;1413;6459;5873;16;6507;1252;5460;305;1073;1424;1255;1279;6459;5873;16;1413;5460;305;6459;5873;16;1413;5460;305;6322;6507;5873;305;1073;6459;1255;16;6322;6507;305;6459;1073;5873;1424;6449;6322;1134;6507;1615;668;6459;6507;
