Game Id;PlayerId;TeamId;Game Rating;SA;GA;SV;SV%;TOI;PIM
65517;862;2;75;24;2;22;.917;3600000;0
65517;5935;2;0;0;0;0;.00nan;0;0
65517;5944;23;53;38;6;32;.842;2446400;0
65517;6515;23;46;11;2;9;.818;1153600;0
65518;1044;17;0;0;0;0;.00nan;0;0
65518;2965;31;0;0;0;0;.00nan;0;0
65518;5872;17;77;34;3;31;.912;3576150;0
65518;6493;31;81;27;2;25;.926;3600000;0
65505;567;24;0;0;0;0;.00nan;0;0
65505;668;14;70;34;4;30;.882;3551000;0
65505;1615;14;0;0;0;0;.00nan;0;0
65505;1828;24;66;26;3;23;.885;3600000;0
65498;889;152;88;41;3;38;.927;3899500;0
65498;1641;29;73;28;3;25;.893;3900000;0
65498;3462;29;0;0;0;0;.00nan;0;0
65498;5950;152;0;0;0;0;.00nan;0;0
65499;150;25;53;37;6;31;.838;3600000;0
65499;762;25;0;0;0;0;.00nan;0;0
65499;1926;0;37;30;6;24;.800;2291100;0
65499;6446;0;24;10;4;6;.600;1308900;0
65739;945;30;75;20;1;19;.950;3600000;0
65739;1247;20;0;0;0;0;.00nan;0;0
65739;1300;20;77;40;4;36;.900;3600000;0
65739;1664;30;0;0;0;0;.00nan;0;0
65535;690;154;0;0;0;0;.00nan;0;0
65535;830;26;0;0;0;0;.00nan;0;0
65535;929;154;68;38;5;33;.868;3884550;0
65535;2062;26;53;27;4;23;.852;3884550;0
65482;930;9;0;0;0;0;.00nan;0;0
65482;2075;10;0;0;0;0;.00nan;0;0
65482;5934;9;73;24;2;22;.917;3600000;0
65482;6527;10;34;34;7;27;.794;3600000;0
65649;703;1;89;46;4;42;.913;3550750;0
65649;982;28;0;0;0;0;.00nan;0;0
65649;1294;28;68;28;3;25;.893;3600000;0
65649;3513;1;0;0;0;0;.00nan;0;0
65599;904;3;49;35;6;29;.829;3600000;0
65599;1064;3;0;0;0;0;.00nan;0;0
65599;2123;8;87;36;3;33;.917;3600000;0
65599;5430;8;0;0;0;0;.00nan;0;0
65522;904;3;0;0;0;0;.00nan;0;0
65522;1064;3;100;48;1;47;.979;3600000;0
65522;1641;29;0;0;0;0;.00nan;0;0
65522;3462;29;84;32;2;30;.938;3543150;0
65516;1926;0;0;0;0;0;.00nan;0;0
65516;2965;31;100;46;3;43;.935;3600000;0
65516;6446;0;47;29;5;24;.828;3576400;0
65516;6493;31;0;0;0;0;.00nan;0;0
66523;703;1;0;0;0;0;.00nan;0;0
66523;830;26;80;22;1;21;.955;3600000;0
66523;2062;26;0;0;0;0;.00nan;0;0
66523;3513;1;57;33;5;28;.848;3600000;0
65501;540;21;61;37;5;32;.865;3573450;0
65501;879;124;88;39;3;36;.923;3600000;0
65501;1658;124;0;0;0;0;.00nan;0;0
