PlayerId;Year;TeamId;LeagueId;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
28;2021;8;0;7;0;1;14;-6;0;1;0;0;56;0;12;0;0;9;1;2;7;6332;924;685;2;1
63;2021;15;0;7;0;0;0;-1;0;0;0;0;59;0;9;0;0;6;1;2;11;7204;139;746;0;0
148;2021;22;0;5;0;2;2;0;0;0;0;0;61;0;3;11;6;3;3;2;1;3442;61;274;0;0
5832;2021;18;0;7;0;1;2;1;0;0;0;0;62;0;4;19;13;4;0;1;0;2962;0;687;0;0
5833;2021;29;0;4;0;2;2;4;0;1;0;0;65;0;3;0;0;5;2;2;0;2819;487;0;0;0
5836;2021;8;0;7;1;1;2;0;0;0;1;1;66;0;4;12;6;9;2;3;2;5424;0;256;0;0
5838;2021;59;1;6;1;1;0;2;0;0;0;0;60;0;9;5;2;5;1;1;0;4115;0;391;0;0
6;2021;60;1;6;0;2;6;1;0;0;0;0;64;0;11;70;40;14;2;2;6;5055;113;625;0;0
20;2021;31;0;7;1;0;2;0;0;0;0;0;55;1;6;55;26;2;6;2;0;4286;10;0;0;0
20;2022;18;0;7;1;0;2;-13;0;0;0;0;58;0;4;103;56;7;4;3;0;5977;557;537;0;0
21;2021;16;0;6;0;0;2;-4;0;0;0;0;58;0;5;0;0;3;0;2;10;5884;296;425;0;0
21;2022;16;0;4;0;0;0;-3;0;0;0;0;52;0;5;0;0;1;0;0;8;3828;0;305;0;0
54;2021;60;1;7;0;1;4;-2;0;0;0;0;59;0;7;40;17;5;2;3;2;4380;0;1502;0;0
77;2021;14;0;7;0;1;4;4;0;0;0;0;60;0;6;0;0;11;2;3;5;6044;28;560;0;0
106;2021;24;0;7;0;1;4;-3;0;1;0;0;60;0;8;18;10;1;4;3;2;2978;929;291;0;0
106;2022;18;0;7;0;0;4;-4;0;0;0;0;60;0;3;6;3;8;11;5;0;4871;1029;403;0;0
138;2021;0;0;3;0;1;0;-1;0;0;0;0;57;0;2;7;3;5;3;0;0;1737;0;219;0;0
138;2022;18;0;7;0;1;2;-5;0;0;0;0;59;0;2;1;0;12;6;0;0;5452;307;274;0;0
140;2021;9;0;7;0;0;0;1;0;0;0;0;58;0;3;0;0;7;5;1;3;3170;33;0;0;0
140;2022;29;0;3;0;1;0;0;0;0;0;0;60;0;0;0;0;3;1;0;0;1765;0;14;0;0
163;2021;41;1;7;1;0;14;-9;0;0;0;0;67;0;9;0;0;10;2;3;17;6469;889;515;0;0
163;2022;7;0;3;0;1;2;0;0;0;0;0;53;0;5;0;0;3;0;0;5;2978;0;190;0;0
169;2021;7;0;6;0;2;2;0;0;0;0;0;60;0;6;72;38;3;4;2;1;4684;407;56;0;0
169;2022;7;0;5;0;2;0;-1;0;2;0;0;62;0;6;0;0;5;1;2;0;2393;1091;0;0;0
172;2021;27;0;7;0;0;2;2;0;0;0;0;57;0;8;0;0;4;1;1;7;5199;0;646;0;0
172;2022;18;0;7;0;0;6;-12;0;0;0;0;49;0;11;0;0;7;1;1;5;8208;597;297;0;0
175;2021;12;0;7;0;1;0;0;0;0;0;0;59;0;4;12;5;8;5;0;1;3754;0;268;0;0
175;2022;24;0;7;0;4;2;-7;0;1;0;0;63;0;6;68;40;9;3;3;0;6125;349;133;0;0
176;2021;21;0;7;0;2;0;1;0;0;0;0;60;0;3;55;27;3;2;2;0;3735;59;293;0;0
193;2021;1;0;2;0;0;2;-3;0;0;0;0;49;0;2;0;0;1;1;0;1;1833;0;124;0;0
193;2022;7;0;4;1;0;2;-1;0;0;0;0;56;0;7;0;0;1;0;2;6;3873;45;428;0;0
264;2021;38;1;7;1;5;16;7;0;0;0;0;62;0;13;86;46;18;1;0;0;5482;221;308;0;0
267;2021;5;0;7;1;2;2;2;0;0;1;0;64;0;3;24;14;8;3;3;4;5048;124;419;0;0
271;2021;23;0;7;0;1;0;0;0;0;0;0;61;0;0;7;3;5;4;1;2;3410;64;268;0;0
273;2021;25;0;7;0;0;13;1;0;0;0;0;63;0;2;2;1;7;1;2;1;2751;435;152;1;1
338;2021;35;1;6;1;5;0;2;0;1;0;0;75;0;10;30;14;15;4;1;8;5140;411;743;0;0
338;2022;18;0;7;1;1;0;-4;0;0;0;0;61;0;5;99;43;8;5;6;1;5784;770;307;0;0
641;2021;37;1;6;1;3;6;3;0;0;0;0;59;0;8;7;3;9;5;1;5;5216;104;443;0;0
858;2021;53;1;6;2;2;0;1;0;0;0;0;67;0;9;26;12;4;0;5;5;5003;12;996;0;0
900;2021;44;1;6;2;2;6;5;0;0;0;0;67;0;11;26;22;8;2;0;2;4721;0;851;0;0
983;2021;43;1;7;1;3;6;2;0;1;0;0;69;1;14;42;18;13;3;5;4;6254;476;1194;0;0
1758;2021;28;0;7;0;2;0;3;0;0;0;0;62;0;1;0;0;9;2;0;2;2979;0;380;0;0
2135;2022;18;0;7;0;0;4;-6;0;0;0;0;59;0;12;0;0;12;0;6;7;7239;927;714;0;0
2140;2021;8;0;7;0;0;4;-2;0;0;0;0;65;0;9;68;30;7;4;3;1;4048;627;504;0;0
2146;2022;61;1;4;0;0;0;-4;0;0;0;0;57;0;7;0;0;1;2;0;3;3190;223;321;0;0
2146;2021;61;1;1;1;0;0;1;1;0;0;0;79;0;2;0;0;0;0;0;3;923;343;204;0;0
2147;2021;45;1;6;1;1;0;-1;0;0;0;0;75;0;11;0;0;11;1;5;6;5434;1404;939;0;0
2150;2021;61;1;7;2;4;6;-4;2;4;0;0;71;0;24;7;4;7;1;1;0;4810;2677;92;0;0
2151;2021;53;1;4;0;0;2;0;0;0;0;0;58;0;4;12;7;2;0;0;2;1500;160;175;0;0
2157;2021;38;1;5;1;2;4;4;0;0;0;0;62;0;9;24;11;3;1;1;1;3335;28;708;0;0
2164;2021;34;1;5;1;1;2;6;0;0;0;0;67;0;7;0;0;8;5;1;15;4910;5;517;0;0
2166;2021;48;1;6;1;0;0;-2;0;0;0;0;63;0;8;1;0;4;1;0;2;4488;937;466;0;0
2212;2022;48;1;2;0;0;9;-3;0;0;0;0;51;0;0;0;0;10;0;0;5;1599;143;295;1;1
2212;2021;48;1;5;0;0;26;-5;0;0;0;0;56;0;8;0;0;26;2;2;6;4932;108;740;2;1
2234;2021;48;1;6;1;3;17;1;1;0;0;0;60;0;12;0;0;5;4;1;5;5458;749;812;1;0
2264;2021;41;1;7;2;2;4;-6;2;2;0;0;64;0;11;10;3;8;2;1;2;4525;1463;102;0;0
3944;2021;52;1;7;1;2;2;-2;0;0;0;0;64;0;11;29;18;1;4;2;6;4361;1159;188;0;0
4421;2021;54;1;7;1;3;2;0;0;0;0;0;65;0;20;19;8;2;4;4;6;5088;1187;590;0;0
5;2021;42;1;6;1;3;4;3;0;0;0;1;68;0;9;0;0;8;3;2;12;4951;123;1487;0;0
5;2022;42;1;4;1;1;0;0;0;0;1;1;61;0;6;0;0;10;1;1;6;3661;81;900;0;0
11;2021;30;0;7;1;0;7;-1;1;0;0;0;67;0;11;111;63;2;8;6;3;5789;1763;57;1;0
11;2022;30;0;3;1;1;4;1;0;1;0;0;72;0;9;46;28;4;2;3;0;2659;571;150;0;0
11;2023;30;0;1;0;0;0;-1;0;0;0;0;59;0;5;9;3;1;2;0;0;940;129;11;0;0
17;2021;22;0;4;1;1;0;0;0;0;0;0;62;0;5;43;20;4;1;1;0;2409;205;623;0;0
17;2022;22;0;7;1;0;2;-3;0;0;0;0;57;0;5;34;19;4;3;3;0;3127;3;611;0;0
18;2021;50;1;5;1;2;7;0;0;0;0;0;59;0;5;18;13;8;2;0;3;2974;16;937;1;1
18;2023;43;1;5;2;1;2;0;0;0;0;0;62;0;4;2;2;5;0;0;5;3979;31;746;0;0
19;2021;17;0;7;1;1;0;1;0;0;0;1;63;0;4;70;35;5;3;1;2;3333;0;1187;0;0
19;2022;17;0;7;0;2;4;-8;0;2;0;0;63;0;7;103;51;5;3;4;0;5774;281;667;0;0
19;2022;43;1;6;1;8;16;4;0;5;0;0;71;0;14;103;61;10;0;0;1;4996;1081;159;0;0
19;2023;43;1;3;0;0;4;-1;0;0;0;0;55;0;0;4;1;1;1;0;2;1569;0;412;0;0
19;2023;17;0;1;0;0;0;0;0;0;0;0;58;0;1;5;3;1;1;0;0;539;19;0;0;0
22;2021;20;0;7;2;0;2;-1;1;0;1;0;62;1;3;2;1;8;4;0;0;3859;117;242;0;0
22;2022;8;0;4;0;1;0;2;0;0;0;0;60;0;3;5;2;1;2;2;0;2234;1;0;0;0
24;2021;23;0;7;0;0;0;0;0;0;0;0;59;0;0;23;12;3;3;0;0;2432;0;1102;0;0
24;2022;32;1;6;0;4;0;0;0;0;0;0;64;0;5;38;17;10;3;0;10;4604;233;1119;0;0
35;2021;7;0;4;0;0;5;-1;0;0;0;0;62;0;1;7;4;9;1;1;0;1994;108;6;0;0
35;2022;41;1;7;0;0;2;-5;0;0;0;0;61;0;7;10;4;15;1;1;2;5408;250;698;0;0
41;2021;60;1;6;1;0;2;-1;0;0;0;0;68;0;12;0;0;10;3;1;12;5959;441;1000;0;0
41;2022;60;1;7;0;1;2;-2;0;0;0;0;61;0;9;0;0;6;2;4;5;6131;76;1016;0;0
48;2022;12;0;2;0;1;4;0;0;0;0;0;61;0;3;0;0;2;0;0;3;2188;15;166;0;0
57;2021;24;0;7;1;1;4;3;0;0;0;0;70;0;10;1;0;14;4;4;0;4843;269;344;0;0
57;2022;18;0;7;0;1;0;-12;0;0;0;0;55;0;5;2;2;1;2;2;0;6004;242;142;0;0
59;2021;22;0;7;0;1;2;1;0;0;0;0;61;0;4;65;37;4;2;2;1;5306;26;147;0;0
59;2022;20;0;5;2;0;2;3;0;0;0;0;62;0;8;24;9;7;4;1;1;3267;0;136;0;0
59;2023;36;1;6;1;3;10;3;0;0;0;0;61;0;12;89;43;12;1;1;4;5560;274;324;0;0
60;2021;30;0;7;0;2;4;-1;0;1;0;0;60;0;12;0;0;4;0;1;11;7020;47;907;0;0
60;2022;30;0;3;0;0;0;1;0;0;0;0;65;0;8;0;0;4;1;2;5;3490;28;458;0;0
60;2023;30;0;2;0;0;0;-3;0;0;0;0;60;0;3;0;0;3;0;2;3;2339;0;11;0;0
71;2021;22;0;5;1;2;7;1;0;0;0;1;66;0;2;8;3;16;7;3;2;3676;60;681;1;0
71;2022;22;0;7;1;2;0;-3;0;0;0;0;67;0;8;6;3;21;2;6;1;4876;69;539;0;0
79;2021;4;0;7;0;1;2;-3;0;0;0;0;66;0;2;1;1;11;2;1;1;4822;0;157;0;0
79;2022;4;0;6;2;3;0;3;1;0;0;0;59;0;7;22;7;3;5;2;0;4807;96;143;0;0
89;2021;7;0;5;0;1;2;2;0;0;0;0;60;0;4;0;0;7;1;5;4;4597;22;679;0;0
89;2022;41;1;7;1;1;4;-2;0;0;0;0;67;0;12;0;0;14;1;8;23;6670;242;1229;0;0
95;2021;8;0;7;1;1;2;1;0;0;1;0;66;0;21;0;0;8;0;5;11;8207;1062;771;0;0
95;2022;1;0;7;1;0;2;-8;0;0;0;0;52;0;11;0;0;3;0;2;4;6551;29;376;0;0
101;2021;60;1;6;0;3;2;1;0;2;0;0;74;0;9;8;5;5;0;3;1;3745;2029;21;0;0
101;2023;43;1;5;1;0;6;1;0;0;0;0;61;0;5;1;0;7;0;0;1;3775;83;192;0;0
109;2022;23;0;7;0;0;0;1;0;0;0;0;61;0;2;0;0;8;9;4;0;5384;0;255;0;0
109;2023;57;1;5;0;3;7;0;0;0;0;0;60;0;11;2;1;4;2;0;3;2990;0;428;1;1
125;2021;42;1;7;1;2;0;3;0;0;0;0;71;0;16;3;3;10;0;1;2;4659;1342;0;0;0
125;2022;42;1;7;2;2;2;0;1;1;0;0;68;0;16;5;2;7;2;1;3;4229;1456;253;0;0
125;2022;4;0;1;0;0;0;-1;0;0;0;0;49;0;0;7;4;0;0;0;0;504;0;0;0;0
136;2021;3;0;7;2;2;4;3;2;0;0;0;64;0;8;5;3;8;6;2;0;3658;461;536;0;0
136;2022;38;1;7;0;0;0;-1;0;0;0;0;62;0;12;11;3;3;2;1;4;4434;1024;90;0;0
146;2021;8;0;7;0;3;6;1;0;2;0;0;64;0;1;0;0;15;4;2;1;3682;383;0;0;0
