Game Id;Period;Time;Player;TeamId;Penalty;Minutes
65517;1;18;2959;23;Tripping;2
65517;1;36;7615;2;Holding;2
65517;1;572;1867;23;Tripping;2
65517;1;782;6458;2;Unsportsmanlike Conduct;2
65517;3;245;1999;2;Holding The Stick;2
65517;3;873;2959;23;Holding;2
65517;3;1087;5811;23;Bench;0
65518;2;816;5772;31;Cross-Checking;2
65518;2;868;957;31;Roughing;2
65518;2;973;401;17;Tripping;2
65518;3;301;2950;17;Hooking;2
65518;3;333;1553;31;Hooking;2
65518;3;469;1575;17;Holding;2
65518;3;1036;957;31;Interference;2
65505;1;1066;8184;24;Tripping;2
65505;2;75;305;14;Holding;2
65505;2;276;5669;24;Slashing;2
65505;2;276;5873;14;High Sticking;2
65505;2;423;2013;24;Slashing;2
65498;1;62;1662;29;Slashing;2
65498;1;423;5902;152;Tripping;2
65498;3;91;2035;29;Tripping;2
65498;3;1042;3412;152;Tripping;2
65498;3;1197;946;29;Tripping;2
65499;1;118;1590;25;Roughing;2
65499;1;118;554;0;Roughing;2
65499;1;591;8173;25;Fighting;5
65499;1;591;5863;0;Fighting;5
65499;2;649;554;0;Holding;2
65499;2;649;6329;25;Embellishment;2
65499;2;727;6279;25;Holding;2
65739;1;349;6565;20;Tripping;2
65739;1;1115;6565;20;Interference;2
65739;1;1115;5375;30;High Sticking;2
65739;1;1151;790;30;Unsportsmanlike Conduct;2
65739;2;46;2731;20;Slashing;2
65739;2;132;6048;30;Holding;2
65739;2;273;849;20;Holding;2
65739;2;878;2730;30;Interference;2
65739;2;1001;2731;20;Hooking;2
65739;2;1084;7;30;Hooking;2
65739;3;746;2843;20;Holding The Stick;2
65739;3;760;6565;20;Cross-Checking;2
65739;3;899;6273;20;Holding;2
65535;2;53;5664;26;Fighting;5
65535;2;53;1868;154;Fighting;5
65535;2;1071;1432;154;Boarding Major;5
65535;3;14;5664;26;Tripping;2
65535;3;39;6141;154;Tripping;2
65535;3;147;1909;154;Hooking;2
65482;1;557;6550;9;Tripping;2
65482;1;557;1398;10;Slashing;2
65482;1;836;1672;10;Tripping;2
65482;1;956;6550;9;Hooking;2
65482;2;648;6447;9;Holding;2
65482;2;1073;6440;10;Slashing;2
65482;2;1181;1672;10;Roughing;2
65482;2;1181;5894;9;Roughing;2
65482;3;1047;853;9;Holding;2
65649;1;225;6247;28;Holding;2
65649;1;710;7066;28;Hooking;2
65649;1;912;7609;28;Tripping;2
65649;1;927;3299;1;Tripping;2
65599;1;251;802;3;High Sticking;2
65599;1;960;5591;3;Hooking;2
65599;2;909;6462;3;Fighting;5
65599;2;909;1187;8;Fighting;5
65522;1;645;802;3;Slashing;2
65522;1;1099;5869;29;Slashing;2
65522;2;254;1764;29;Slashing;2
65522;2;254;5900;3;Slashing;2
65522;3;246;2526;3;Hooking;2
65516;1;868;614;31;Tripping;2
65516;1;868;5857;0;Slashing;2
65516;2;170;6994;0;Holding;2
65516;2;310;1684;31;Holding;2
65516;2;730;1553;31;Tripping;2
65516;2;964;1029;0;Tripping;2
66523;2;262;6401;26;Tripping;2
66523;2;986;6445;26;Unsportsmanlike Conduct;2
65501;1;514;1149;21;Hooking;2
65501;1;837;6166;21;Cross-Checking;2
65501;2;223;1627;124;Holding;2
65501;2;270;1243;21;Hooking;2
65501;3;47;5882;21;Interference;2
65501;3;417;5882;21;Tripping;2
65501;3;516;6166;21;Tripping;2
65501;3;1071;5862;21;Slashing;2
65501;3;1083;8171;124;Hooking;2
65504;1;101;2091;27;Fighting;5
65504;1;101;398;12;Fighting;5
65504;1;165;2017;12;Holding;2
65504;1;505;5877;27;Hooking;2
65504;1;872;361;27;Interference;2
65504;1;972;6826;12;Holding;2
65504;2;59;5891;12;High Sticking;2
65504;2;670;5726;12;Slashing;2
65504;2;969;5779;27;Slashing;2
65564;1;311;7605;2;Tripping;2
65564;1;725;5383;2;Hooking;2
65564;1;990;427;17;Tripping;2
65564;1;1190;6415;17;Tripping;2
65564;3;1127;3890;17;Hooking;2
65564;3;1127;5730;2;Slashing;2
65483;2;797;8739;7;Bench;0
65483;3;155;955;18;Tripping;2
65483;3;500;300;18;Holding;2
65483;3;1060;5519;18;Holding;2
65481;1;421;5876;20;Hooking;2
65481;1;622;1808;10;Slashing;2
65481;1;721;1102;20;Hooking;2
65481;1;1116;1808;10;Hooking;2
65481;2;304;849;20;Hooking;2
65481;2;748;6565;20;Hooking;2
65481;3;1057;5874;10;Tripping;2
65486;1;571;472;19;High Sticking;2
65486;2;321;472;19;Tripping;2
65486;2;1131;7607;19;Holding;2
65486;3;80;5902;152;Hooking;2
65486;3;305;5907;152;Tripping;2
65485;2;124;1424;14;Slashing;2
65485;2;124;1983;124;High Sticking;2
